상호명,업종,분류,행정동명,지번주소,경도,위도
킴스푸드,한식,백반/한정식,양덕동,경상남도 창원시 마산회원구 양덕동 888-1,128.5769245,35.22879367
약수터촌국수,한식,국수/칼국수,교방동,경상남도 창원시 마산합포구 교방동 183-1,128.563714,35.21052101
현풍닭칼국수마산월영점,한식,국수/칼국수,해운동,경상남도 창원시 마산합포구 해운동 5-73,128.5592196,35.17975821
황금알낳은콩닭,한식,백반/한정식,양덕동,경상남도 창원시 마산회원구 양덕동 58-22,128.5855868,35.22803094
이화수전통육개장창원,한식,국/탕/찌개류,팔용동,경상남도 창원시 의창구 팔용동 33-5,128.6426969,35.23580887
수모키,서양식,경양식,상남동,경상남도 창원시 성산구 상남동 35-5,128.6828153,35.21947196
속천시골장터,한식,백반/한정식,태평동,경상남도 창원시 진해구 태평동 86-19,128.670551,35.14392038
고미후쿠데판,기타 간이,그 외 기타 간이 음식점,팔용동,경상남도 창원시 의창구 팔용동 30-3,128.6436388,35.23404611
명가국수,한식,국수/칼국수,남문동,경상남도 창원시 진해구 남문동 1246-6,128.7532068,35.1066838
황금코다리창원내서점,한식,해산물 구이/찜,내서읍,경상남도 창원시 마산회원구 내서읍 중리 1045-4,128.5092967,35.24830634
별난푸드,한식,돼지고기 구이/찜,도계동,경상남도 창원시 의창구 도계동 412-4,128.6403032,35.25695968
집밥포차,한식,백반/한정식,양덕동,경상남도 창원시 마산회원구 양덕동 23-25,128.5875866,35.23417793
분식하우스,기타 간이,김밥/만두/분식,경화동,경상남도 창원시 진해구 경화동 1164-1,128.6815855,35.15508155
몽돌횟집,한식,횟집,상남동,경상남도 창원시 성산구 상남동 82-4,128.6853134,35.21870967
어울림,한식,횟집,가포동,경상남도 창원시 마산합포구 가포동 29-9,128.5851556,35.15259287
웨스트벨리,서양식,경양식,중동,경상남도 창원시 의창구 중동 784-1,128.6250252,35.25663392
우미남마산역점,한식,돼지고기 구이/찜,석전동,경상남도 창원시 마산회원구 석전동 226-12,128.5789598,35.23539135
고집불통청국장쌈밥분식,한식,백반/한정식,반지동,경상남도 창원시 성산구 반지동 50-17,128.6632057,35.24079122
정선생해물아구찜,한식,해산물 구이/찜,남양동,경상남도 창원시 성산구 남양동 17,128.6992857,35.2136089
동강감자탕,한식,국/탕/찌개류,석전동,경상남도 창원시 마산회원구 석전동 258-1,128.5753744,35.23019824
대복식당,일식,일식 회/초밥,용원동,경상남도 창원시 진해구 용원동 1183-11,128.8212029,35.10098701
양자강,중식,중국집,자은동,경상남도 창원시 진해구 자은동 901-11,128.7047707,35.14921586
중국관,중식,중국집,사파동,경상남도 창원시 성산구 사파동 3,128.6996216,35.22586617
소반,한식,백반/한정식,여좌동,경상남도 창원시 진해구 여좌동 125-47,128.6596464,35.1552841
진진식당,한식,백반/한정식,신월동,경상남도 창원시 성산구 신월동 68-1,128.6919613,35.22804655
푸움,한식,백반/한정식,도계동,경상남도 창원시 의창구 도계동 327-5,128.6366115,35.26126987
담락참치일잔창원,일식,일식 회/초밥,서상동,경상남도 창원시 의창구 서상동 707-8,128.6206137,35.25457436
팔팔칠일,한식,돼지고기 구이/찜,화천동,경상남도 창원시 진해구 화천동 25-1,128.6607174,35.15199708
영일만,한식,횟집,두월동2가,경상남도 창원시 마산합포구 두월동2가 5-4,128.560782,35.18663788
별장,한식,횟집,구산면,경상남도 창원시 마산합포구 구산면 옥계리 33,128.6164191,35.08918435
천일갈비,한식,돼지고기 구이/찜,용호동,경상남도 창원시 성산구 용호동 66,128.6788245,35.23620659
비,서양식,경양식,동읍,경상남도 창원시 의창구 동읍 용전리 48,128.657313,35.27847524
꾸죠,한식,백반/한정식,봉곡동,경상남도 창원시 의창구 봉곡동 35-6,128.6510199,35.24344443
비빔가,한식,백반/한정식,팔용동,경상남도 창원시 의창구 팔용동 30-3,128.6436388,35.23404611
대통령라면,기타 간이,김밥/만두/분식,경화동,경상남도 창원시 진해구 경화동 1254-2,128.6827596,35.15898711
불림바,서양식,경양식,용호동,경상남도 창원시 성산구 용호동 42-19,128.6816685,35.24126555
명륜진사갈비마산회원점,한식,돼지고기 구이/찜,회원동,경상남도 창원시 마산회원구 회원동 68-2,128.5753773,35.21815527
스트라이크존식당,기타 간이,김밥/만두/분식,상남동,경상남도 창원시 성산구 상남동 22-3,128.6842485,35.22008584
꼬뎅,한식,횟집,해운동,경상남도 창원시 마산합포구 해운동 35-13,128.5614474,35.17960367
홈팝참치,일식,일식 회/초밥,용원동,경상남도 창원시 진해구 용원동 1213-10,128.812999,35.10103329
목구멍,한식,돼지고기 구이/찜,대방동,경상남도 창원시 성산구 대방동 366-5,128.7080065,35.20724833
갈비가참맛있다무동점,한식,돼지고기 구이/찜,북면,경상남도 창원시 의창구 북면 무동리 146-3,128.5853399,35.31746118
순희식당,한식,백반/한정식,소계동,경상남도 창원시 의창구 소계동 725-4,128.5996924,35.2563745
남부사우나스낵코너,기타 간이,김밥/만두/분식,월남동5가,경상남도 창원시 마산합포구 월남동5가 4-1,128.5597758,35.18080129
보양곰탕온,한식,국/탕/찌개류,신월동,경상남도 창원시 성산구 신월동 40-4,128.6892916,35.23062179
지코바숯불치킨,기타 간이,치킨,봉곡동,경상남도 창원시 의창구 봉곡동 128-12,128.6702642,35.24668362
바다이야기,한식,백반/한정식,소답동,경상남도 창원시 의창구 소답동 133-15,128.627681,35.26470583
배떡,기타 간이,김밥/만두/분식,안골동,경상남도 창원시 진해구 안골동 375,128.806456,35.09821947
삼첩분식&덮덮밥,기타 간이,김밥/만두/분식,이동,경상남도 창원시 진해구 이동 2-2,128.6984315,35.15614845
장터국밥,한식,국/탕/찌개류,명서동,경상남도 창원시 의창구 명서동 75-15,128.6465674,35.24866945
맛나돌곱창,한식,곱창 전골/구이,중앙동,경상남도 창원시 성산구 중앙동 75-3,128.6776955,35.22858697
처갓집양념치킨,기타 간이,치킨,양덕동,경상남도 창원시 마산회원구 양덕동 57-18,128.58574,35.22794006
우등푸드,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 10-1,128.6869054,35.22253166
팔도실비집마산내서점,한식,기타 한식 음식점,내서읍,경상남도 창원시 마산회원구 내서읍 용담리 190-2,128.5030156,35.26146628
서마지기&쪽지,한식,돼지고기 구이/찜,용원동,경상남도 창원시 진해구 용원동 1214-2,128.810879,35.10072297
파루식육식당,한식,돼지고기 구이/찜,대흥동,경상남도 창원시 진해구 대흥동 5-6,128.6590965,35.15105941
치킨더홈진해자은점,기타 간이,치킨,자은동,경상남도 창원시 진해구 자은동 924-29,128.7061687,35.1484325
한우암소국밥,한식,국/탕/찌개류,회원동,경상남도 창원시 마산회원구 회원동 408-3,128.5712518,35.21882383
청송비빔밥,한식,백반/한정식,여좌동,경상남도 창원시 진해구 여좌동 134-8,128.6628574,35.15468065
창동마굿간,한식,돼지고기 구이/찜,중성동,경상남도 창원시 마산합포구 중성동 130,128.575035,35.2069973
논두렁,한식,백반/한정식,중앙동,경상남도 창원시 성산구 중앙동 96-1,128.6789506,35.2236402
촌놈고기집창원중동,한식,돼지고기 구이/찜,중동,경상남도 창원시 의창구 중동 784-1,128.6250252,35.25663392
스시환,일식,일식 회/초밥,중동,경상남도 창원시 의창구 중동 784-1,128.6250252,35.25663392
자연밥상,한식,돼지고기 구이/찜,자은동,경상남도 창원시 진해구 자은동 904-1,128.7055404,35.14938265
달빛아래,한식,백반/한정식,동읍,경상남도 창원시 의창구 동읍 용잠리 403-11,128.6862363,35.27872027
흑돼지랑오리,한식,돼지고기 구이/찜,내동,경상남도 창원시 성산구 내동 456-16,128.6703895,35.21651265
다솜수제만두,기타 간이,김밥/만두/분식,도계동,경상남도 창원시 의창구 도계동 352-10,128.6371735,35.25866184
정아돼지국밥,한식,백반/한정식,동읍,경상남도 창원시 의창구 동읍 용잠리 251,128.6902678,35.27968888
미니복통술,한식,백반/한정식,상남동,경상남도 창원시 마산합포구 상남동 84-8,128.5712873,35.21291034
행복한밥상,한식,백반/한정식,진동면,경상남도 창원시 마산합포구 진동면 진동리 627-3,128.4850196,35.11649982
고집센그집갈비탕,한식,백반/한정식,도계동,경상남도 창원시 의창구 도계동 351-10,128.6375081,35.25788486
